target_body,source_anim
it_4009_M,it_4027_XL_2000
it_4009_M,it_4034_L_2000
it_4009_M,it_4039_L_2001
it_4009_M,it_4051_3XL_2000
it_4009_M,it_4051_3XL_2001
it_4009_M,it_4051_3XL_2002
it_4027_XL,it_4009_M_2000
it_4027_XL,it_4009_M_2001
it_4027_XL,it_4034_L_2000
it_4027_XL,it_4039_L_2001
it_4027_XL,it_4051_3XL_2000
it_4027_XL,it_4051_3XL_2001
it_4027_XL,it_4051_3XL_2002
it_4034_L,it_4009_M_2000
it_4034_L,it_4009_M_2001
it_4034_L,it_4027_XL_2000
it_4034_L,it_4039_L_2001
it_4034_L,it_4051_3XL_2000
it_4034_L,it_4051_3XL_2001
it_4034_L,it_4051_3XL_2002
it_4039_L,it_4009_M_2000
it_4039_L,it_4009_M_2001
it_4039_L,it_4027_XL_2000
it_4039_L,it_4034_L_2000
it_4039_L,it_4051_3XL_2000
it_4039_L,it_4051_3XL_2001
it_4039_L,it_4051_3XL_2002
it_4051_3XL,it_4009_M_2000
it_4051_3XL,it_4009_M_2001
it_4051_3XL,it_4027_XL_2000
it_4051_3XL,it_4034_L_2000
it_4051_3XL,it_4039_L_2001
